=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp_opt_2000.txt
单词总数: 2000
【核心性能与质量指标】
- 排序计算耗时: 74.508 ms
- 平均相邻汉明距离: 690.02 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 904 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 1998
--------------------------------------------------

00001. handshake          (起点)
00642. renounce           (相邻汉明距离: 690)
00643. dedicate           (相邻汉明距离: 703)
00644. dedication         (相邻汉明距离: 350)
00645. cordiality         (相邻汉明距离: 746)
00646. cordon             (相邻汉明距离: 658)
00647. cornet             (相邻汉明距离: 690)
00648. coronet            (相邻汉明距离: 585)
00649. corps              (相邻汉明距离: 658)
00650. correspond         (相邻汉明距离: 628)
00651. correspondingly    (相邻汉明距离: 381)
00652. contrary to        (相邻汉明距离: 640)
00653. counteract         (相邻汉明距离: 577)
00654. contr.             (相邻汉明距离: 563)
00655. concur             (相邻汉明距离: 637)
00656. convenient for     (相邻汉明距离: 679)
00657. cool off           (相邻汉明距离: 765)
00658. inoffensive        (相邻汉明距离: 656)
00659. indefinitely       (相邻汉明距离: 691)
00660. correctly          (相邻汉明距离: 723)
00661. rightly            (相邻汉明距离: 433)
00662. decided            (相邻汉明距离: 699)
00663. decide on          (相邻汉明距离: 347)
00664. controlling        (相邻汉明距离: 703)
00665. compare to...      (相邻汉明距离: 730)
00666. constructing       (相邻汉明距离: 741)
00667. declarative        (相邻汉明距离: 725)
00668. dark-blue          (相邻汉明距离: 799)
00669. dingy              (相邻汉明距离: 648)
00670. grinding           (相邻汉明距离: 717)
00671. fineness           (相邻汉明距离: 652)
00672. completeness       (相邻汉明距离: 704)
00673. completely         (相邻汉明距离: 532)
00674. close in           (相邻汉明距离: 655)
00675. dash-out           (相邻汉明距离: 708)
00676. defray             (相邻汉明距离: 730)
00677. defensive          (相邻汉明距离: 722)
00678. dangerous          (相邻汉明距离: 653)
00679. cautiously         (相邻汉明距离: 715)
00680. diligently         (相邻汉明距离: 695)
00681. dilute             (相邻汉明距离: 618)
00682. distantly          (相邻汉明距离: 657)
00683. demure             (相邻汉明距离: 698)
00684. orderly            (相邻汉明距离: 701)
00685. in good condition  (相邻汉明距离: 735)
00686. Good afternoon!    (相邻汉明距离: 677)
00687. day after day      (相邻汉明距离: 710)
00688. device name        (相邻汉明距离: 789)
00689. computer room      (相邻汉明距离: 801)
00690. computer resource  (相邻汉明距离: 532)
00691. computation        (相邻汉明距离: 694)
00692. floating-point computer (相邻汉明距离: 661)
00693. computer language  (相邻汉明距离: 637)
00694. compiler           (相邻汉明距离: 656)
00695. fiendishly         (相邻汉明距离: 752)
00696. relics             (相邻汉明距离: 780)
00697. jewelery           (相邻汉明距离: 716)
00698. cosset             (相邻汉明距离: 753)
00699. Have a seat.       (相邻汉明距离: 771)
00700. help someone with something (相邻汉明距离: 780)
00701. deny something to someone (相邻汉明距离: 738)
00702. deny sth. to sb.   (相邻汉明距离: 519)
00703. feel like doing sth. (相邻汉明距离: 683)
00704. sweep the ﬂoor     (相邻汉明距离: 749)
00705. slipup             (相邻汉明距离: 760)
00706. cover... with      (相邻汉明距离: 840)
00707. couple with        (相邻汉明距离: 736)
00708. coupler            (相邻汉明距离: 602)
00709. cuff links         (相邻汉明距离: 712)
00710. cuirass            (相邻汉明距离: 660)
00711. chequer            (相邻汉明距离: 764)
00712. check book         (相邻汉明距离: 644)
00713. in black and white (相邻汉明距离: 738)
00714. dark-haired        (相邻汉明距离: 714)
00715. handsome           (相邻汉明距离: 703)
00716. dick               (相邻汉明距离: 740)
00717. horseman           (相邻汉明距离: 682)
00718. cyclist            (相邻汉明距离: 678)
00719. cpu cycle          (相邻汉明距离: 752)
00720. clock rate         (相邻汉明距离: 606)
00721. clock pulse        (相邻汉明距离: 425)
00722. check-in clerk     (相邻汉明距离: 749)
00723. clasp              (相邻汉明距离: 701)
00724. crutch             (相邻汉明距离: 715)
00725. crux               (相邻汉明距离: 603)
00726. crooked            (相邻汉明距离: 651)
00727. croon              (相邻汉明距离: 648)
00728. coroner            (相邻汉明距离: 688)
00729. criminal offence   (相邻汉明距离: 824)
00730. defraud            (相邻汉明距离: 736)
00731. crack              (相邻汉明距离: 700)
00732. crank              (相邻汉明距离: 482)
00733. crane              (相邻汉明距离: 524)
00734. dragoon            (相邻汉明距离: 664)
00735. daisy-chain        (相邻汉明距离: 766)
00736. down arrow         (相邻汉明距离: 774)
00737. dawn up on         (相邻汉明距离: 729)
00738. importune          (相邻汉明距离: 754)
00739. cuit               (相邻汉明距离: 729)
00740. catsup             (相邻汉明距离: 734)
00741. heron              (相邻汉明距离: 752)
00742. hearken            (相邻汉明距离: 715)
00743. harmonize          (相邻汉明距离: 721)
00744. intensify          (相邻汉明距离: 730)
00745. immunize           (相邻汉明距离: 696)
00746. criminate          (相邻汉明距离: 717)
00747. crime rate         (相邻汉明距离: 653)
00748. courtroom          (相邻汉明距离: 777)
00749. cruiser            (相邻汉明距离: 778)
00750. derrick            (相邻汉明距离: 737)
00751. diaeresis          (相邻汉明距离: 741)
00752. differentiation    (相邻汉明距离: 782)
00753. conversion rate    (相邻汉明距离: 803)
00754. continence         (相邻汉明距离: 788)
00755. dehydration        (相邻汉明距离: 706)
00756. exhaustion         (相邻汉明距离: 692)
00757. illumination       (相邻汉明距离: 738)
00758. insidious          (相邻汉明距离: 735)
00759. lose consciousness (相邻汉明距离: 752)
00760. debility           (相邻汉明距离: 719)
00761. debilitating       (相邻汉明距离: 459)
00762. depressing         (相邻汉明距离: 612)
00763. depression         (相邻汉明距离: 363)
00764. deplore            (相邻汉明距离: 629)
00765. depict             (相邻汉明距离: 753)
00766. delightful         (相邻汉明距离: 778)
00767. hilarious          (相邻汉明距离: 644)
00768. crack a joke       (相邻汉明距离: 715)
00769. coxcomb            (相邻汉明距离: 790)
00770. Humo               (相邻汉明距离: 723)
00771. hog                (相邻汉明距离: 669)
00772. hauteur            (相邻汉明距离: 680)
00773. depths             (相邻汉明距离: 671)
00774. deep someone apart from (相邻汉明距离: 705)
00775. desperate          (相邻汉明距离: 691)
00776. despair of         (相邻汉明距离: 437)
00777. despair            (相邻汉明距离: 203)
00778. despairing         (相邻汉明距离: 181)
00779. despondent         (相邻汉明距离: 457)
00780. poor               (相邻汉明距离: 678)
00781. decent             (相邻汉明距离: 691)
00782. deteriorate        (相邻汉明距离: 672)
00783. depreciate         (相邻汉明距离: 519)
00784. deflation policy   (相邻汉明距离: 719)
00785. deflation          (相邻汉明距离: 428)
00786. desertification    (相邻汉明距离: 706)
00787. deliquesce         (相邻汉明距离: 709)
00788. condiment          (相邻汉明距离: 762)
00789. custodian          (相邻汉明距离: 771)
00790. conservationist    (相邻汉明距离: 684)
00791. longshoreman       (相邻汉明距离: 781)
00792. deep sea diver     (相邻汉明距离: 773)
00793. dig out            (相邻汉明距离: 796)
00794. day and night      (相邻汉明距离: 795)
00795. dawn upon          (相邻汉明距离: 685)
00796. diet on            (相邻汉明距离: 767)
00797. deep fry           (相邻汉明距离: 725)
00798. deep-fried         (相邻汉明距离: 382)
00799. dough              (相邻汉明距离: 760)
00800. bushel             (相邻汉明距离: 739)
00801. cornstalk          (相邻汉明距离: 692)
00802. cranberry          (相邻汉明距离: 659)
00803. crayon             (相邻汉明距离: 694)
00804. Marka              (相邻汉明距离: 754)
00805. branding           (相邻汉明距离: 666)
00806. design             (相邻汉明距离: 726)
00807. identify           (相邻汉明距离: 638)
00808. in detail          (相邻汉明距离: 749)
00809. compare...to       (相邻汉明距离: 753)
00810. crawl to           (相邻汉明距离: 738)
00811. catchword          (相邻汉明距离: 705)
00812. hangar             (相邻汉明距离: 737)
00813. Great Wall         (相邻汉明距离: 727)
00814. Great Barrier Reef (相邻汉明距离: 663)
00815. crustacean         (相邻汉明距离: 795)
00816. corpuscle          (相邻汉明距离: 707)
00817. crackle            (相邻汉明距离: 729)
00818. crush              (相邻汉明距离: 646)
00819. crusader           (相邻汉明距离: 674)
00820. chariot            (相邻汉明距离: 756)
00821. right-hand button  (相邻汉明距离: 870)
00822. for background     (相邻汉明距离: 789)
00823. stand back         (相邻汉明距离: 682)
00824. detachable         (相邻汉明距离: 721)
00825. detector station   (相邻汉明距离: 688)
00826. defender           (相邻汉明距离: 787)
00827. denizen            (相邻汉明距离: 707)
00828. destined           (相邻汉明距离: 707)
00829. departure          (相邻汉明距离: 648)
00830. delay              (相邻汉明距离: 611)
00831. grad               (相邻汉明距离: 679)
00832. eval               (相邻汉明距离: 648)
00833. install            (相邻汉明距离: 725)
00834. installer          (相邻汉明距离: 274)
00835. coverage           (相邻汉明距离: 706)
00836. crow over          (相邻汉明距离: 703)
00837. critique           (相邻汉明距离: 833)
00838. inconsistency      (相邻汉明距离: 731)
00839. inadequate         (相邻汉明距离: 623)
00840. insincere          (相邻汉明距离: 659)
00841. insane             (相邻汉明距离: 646)
00842. crazily            (相邻汉明距离: 599)
00843. creatively         (相邻汉明距离: 619)
00844. cremate            (相邻汉明距离: 673)
00845. cremation          (相邻汉明距离: 346)
00846. deletion           (相邻汉明距离: 733)
00847. destruction        (相邻汉明距离: 591)
00848. draconian          (相邻汉明距离: 681)
00849. demonic            (相邻汉明距离: 657)
00850. demolition         (相邻汉明距离: 739)
00851. detonate           (相邻汉明距离: 681)
00852. deracinate         (相邻汉明距离: 678)
00853. derelict           (相邻汉明距离: 677)
00854. depredate          (相邻汉明距离: 689)
00855. depend upon        (相邻汉明距离: 719)
00856. relate to          (相邻汉明距离: 704)
00857. correlator         (相邻汉明距离: 700)
00858. corresponding account (相邻汉明距离: 677)
00859. contra-revenue account (相邻汉明距离: 692)
00860. count against      (相邻汉明距离: 665)
00861. count as           (相邻汉明距离: 412)
00862. current icon       (相邻汉明距离: 757)
00863. change into        (相邻汉明距离: 775)
00864. remove all         (相邻汉明距离: 844)
00865. résumé             (相邻汉明距离: 793)
00866. premiership        (相邻汉明距离: 811)
00867. Great Britain      (相邻汉明距离: 726)
00868. cross-country      (相邻汉明距离: 745)
00869. cross-generational (相邻汉明距离: 657)
00870. cross off          (相邻汉明距离: 723)
00871. chop at            (相邻汉明距离: 763)
00872. cut a fart         (相邻汉明距离: 700)
00873. cut a sorry figure (相邻汉明距离: 595)
00874. cut corners        (相邻汉明距离: 672)
00875. corner sb.         (相邻汉明距离: 710)
00876. sabre-toothed      (相邻汉明距离: 784)
00877. scorpion           (相邻汉明距离: 729)
00878. Horr               (相邻汉明距离: 739)
00879. hunch              (相邻汉明距离: 685)
00880. catch the fancy of (相邻汉明距离: 729)
00881. catch sight of     (相邻汉明距离: 630)
00882. cope with          (相邻汉明距离: 720)
00883. creep up on        (相邻汉明距离: 748)
00884. Hands up.          (相邻汉明距离: 683)
00885. get above          (相邻汉明距离: 675)
00886. change for the better (相邻汉明距离: 675)
00887. for a time         (相邻汉明距离: 672)
00888. have been          (相邻汉明距离: 733)
00889. constructively     (相邻汉明距离: 782)
00890. concordant         (相邻汉明距离: 660)
00891. conforming         (相邻汉明距离: 503)
00892. conflate           (相邻汉明距离: 587)
00893. consolidate        (相邻汉明距离: 555)
00894. resultant          (相邻汉明距离: 714)
00895. chord              (相邻汉明距离: 715)
00896. coordinate         (相邻汉明距离: 709)
00897. core               (相邻汉明距离: 594)
00898. counterfeit        (相邻汉明距离: 725)
00899. count down         (相邻汉明距离: 749)
00900. deactivated        (相邻汉明距离: 692)
00901. demobilize         (相邻汉明距离: 684)
00902. revile             (相邻汉明距离: 792)
00903. devilishly         (相邻汉明距离: 727)
00904. devilish           (相邻汉明距离: 237)
00905. demon              (相邻汉明距离: 629)
00906. demonstrably       (相邻汉明距离: 639)
00907. denote             (相邻汉明距离: 698)
00908. defuse             (相邻汉明距离: 752)
00909. declared           (相邻汉明距离: 728)
00910. declare statement  (相邻汉明距离: 549)
00911. debug statement    (相邻汉明距离: 613)
00912. diagnostic program (相邻汉明距离: 742)
00913. darkly             (相邻汉明距离: 854)
00914. creepy             (相邻汉明距离: 650)
00915. contrite           (相邻汉明距离: 698)
00916. contentious        (相邻汉明距离: 706)
00917. complaint          (相邻汉明距离: 707)
00918. comparatively      (相邻汉明距离: 736)
00919. I'd rather do sth. (相邻汉明距离: 761)
00920. (get) have an idea (of) (相邻汉明距离: 723)
00921. gonna              (相邻汉明距离: 721)
00922. demeanor           (相邻汉明距离: 772)
00923. condescension      (相邻汉明距离: 656)
00924. condemn sb. to sth. (相邻汉明距离: 633)
00925. condemn sb. to do sth. (相邻汉明距离: 162)
00926. convince sb. to do sth. (相邻汉明距离: 555)
00927. convince sb. of sth (相邻汉明距离: 264)
00928. deprive someone of sth (相邻汉明距离: 654)
00929. depose             (相邻汉明距离: 649)
00930. depopulate         (相邻汉明距离: 513)
00931. degressive tax     (相邻汉明距离: 765)
00932. decreasing         (相邻汉明距离: 656)
00933. deflator           (相邻汉明距离: 690)
00934. defile             (相邻汉明距离: 571)
00935. dilapidated        (相邻汉明距离: 687)
00936. damn it            (相邻汉明距离: 698)
00937. dank               (相邻汉明距离: 592)
00938. damper             (相邻汉明距离: 666)
00939. damping            (相邻汉明距离: 488)
00940. dazed              (相邻汉明距离: 675)
00941. get engaged        (相邻汉明距离: 796)
00942. dig into           (相邻汉明距离: 740)
00943. dig in             (相邻汉明距离: 350)
00944. digital computer   (相邻汉明距离: 655)
00945. digital control    (相邻汉明距离: 608)
00946. control key        (相邻汉明距离: 687)
00947. delete key         (相邻汉明距离: 592)
00948. delete overlay     (相邻汉明距离: 767)
00949. drag image         (相邻汉明距离: 744)
00950. data sharing       (相邻汉明距离: 850)
00951. data protection    (相邻汉明距离: 762)
00952. for data           (相邻汉明距离: 730)
00953. KMT                (相邻汉明距离: 798)
00954. copyright          (相邻汉明距离: 777)
00955. criterion          (相邻汉明距离: 739)
00956. credibility        (相邻汉明距离: 702)
00957. credit association (相邻汉明距离: 678)
00958. customer interface (相邻汉明距离: 786)
00959. cybercriminal      (相邻汉明距离: 789)
00960. priestly           (相邻汉明距离: 811)
00961. religiously        (相邻汉明距离: 677)
00962. dignity            (相邻汉明距离: 803)
00963. deaf-and-dumb      (相邻汉明距离: 761)
00964. cymbal             (相邻汉明距离: 777)
00965. cynosure           (相邻汉明距离: 733)
00966. cure... of         (相邻汉明距离: 675)
00967. consummation       (相邻汉明距离: 748)
00968. in the final analysis (相邻汉明距离: 746)
00969. conclusion         (相邻汉明距离: 648)
00970. resulting          (相邻汉明距离: 584)
00971. result from        (相邻汉明距离: 358)
00972. determinable       (相邻汉明距离: 724)
00973. demonstrative      (相邻汉明距离: 636)
00974. demonstration      (相邻汉明距离: 394)
00975. dimensional        (相邻汉明距离: 710)
00976. derivation         (相邻汉明距离: 758)
00977. insofar            (相邻汉明距离: 772)
00978. forget about       (相邻汉明距离: 758)
00979. forget to          (相邻汉明距离: 387)
00980. remind of          (相邻汉明距离: 647)
00981. correspondence school (相邻汉明距离: 798)
00982. consignee          (相邻汉明距离: 768)
00983. check-in           (相邻汉明距离: 691)
00984. header             (相邻汉明距离: 737)
00985. solemn             (相邻汉明距离: 748)
00986. insolent           (相邻汉明距离: 670)
00987. compassionate      (相邻汉明距离: 723)
00988. feel the pinch     (相邻汉明距离: 804)
00989. feeler             (相邻汉明距离: 693)
00990. feel up to         (相邻汉明距离: 693)
00991. feel well          (相邻汉明距离: 615)
00992. fall ill           (相邻汉明距离: 663)
00993. fall ill with      (相邻汉明距离: 225)
00994. sickness           (相邻汉明距离: 634)
00995. dysfunction        (相邻汉明距离: 702)
00996. detoxify           (相邻汉明距离: 806)
00997. cybernate          (相邻汉明距离: 783)
00998. cryptographic      (相邻汉明距离: 724)
00999. cyclical           (相邻汉明距离: 718)
01000. cyclone            (相邻汉明距离: 649)
01001. icicle             (相邻汉明距离: 654)
01002. crinkle            (相邻汉明距离: 701)
01003. crumble            (相邻汉明距离: 488)
01004. curdle             (相邻汉明距离: 622)
01005. curtains           (相邻汉明距离: 703)
01006. curfew             (相邻汉明距离: 632)
01007. retinue            (相邻汉明距离: 691)
01008. Hold it.           (相邻汉明距离: 765)
01009. hidebound          (相邻汉明距离: 719)
01010. burie              (相邻汉明距离: 707)
01011. burial chamber     (相邻汉明距离: 573)
01012. cutthroat          (相邻汉明距离: 807)
01013. death blow         (相邻汉明距离: 730)
01014. climactic          (相邻汉明距离: 798)
01015. clump              (相邻汉明距离: 692)
01016. cloisonne          (相邻汉明距离: 755)
01017. croissant          (相邻汉明距离: 717)
01018. roseate            (相邻汉明距离: 718)
01019. corollary          (相邻汉明距离: 739)
01020. correspondent      (相邻汉明距离: 680)
01021. local press        (相邻汉明距离: 702)
01022. rough luck         (相邻汉明距离: 818)
01023. culture shock      (相邻汉明距离: 751)
01024. hang over          (相邻汉明距离: 756)
01025. happiness          (相邻汉明距离: 715)
01026. high school        (相邻汉明距离: 787)
01027. Grade              (相邻汉明距离: 683)
01028. Social Studies     (相邻汉明距离: 749)
01029. comparative        (相邻汉明距离: 787)
01030. debatable          (相邻汉明距离: 709)
01031. deliberate         (相邻汉明距离: 677)
01032. delimit            (相邻汉明距离: 615)
01033. # Duplicate Words Merged : 0 (相邻汉明距离: 747)
01034. dovetail           (相邻汉明距离: 755)
01035. daughter-in-law    (相邻汉明距离: 807)
01036. chairwoman         (相邻汉明距离: 757)
01037. gormandizer        (相邻汉明距离: 762)
01038. clamorous          (相邻汉明距离: 775)
01039. continental climate (相邻汉明距离: 788)
01040. countryside        (相邻汉明距离: 814)
01041. countries and nationalities (相邻汉明距离: 767)
01042. Hungary            (相邻汉明距离: 684)
01043. Afghanistan        (相邻汉明距离: 666)
01044. Geneva             (相邻汉明距离: 664)
01045. convene            (相邻汉明距离: 715)
01046. consecration       (相邻汉明距离: 666)
01047. inaugurate         (相邻汉明距离: 696)
01048. culminate in       (相邻汉明距离: 708)
01049. dedicate... to     (相邻汉明距离: 666)
01050. charge... to...    (相邻汉明距离: 668)
01051. challenged         (相邻汉明距离: 734)
01052. courageous         (相邻汉明距离: 727)
01053. cowardly           (相邻汉明距离: 607)
01054. cruelty            (相邻汉明距离: 698)
01055. crippled           (相邻汉明距离: 659)
01056. cramp              (相邻汉明距离: 627)
01057. crystal ball       (相邻汉明距离: 777)
01058. headache           (相邻汉明距离: 816)
01059. hurricane          (相邻汉明距离: 763)
01060. Hanshin            (相邻汉明距离: 757)
01061. Houston            (相邻汉明距离: 664)
01062. Gettysburg College (相邻汉明距离: 768)
01063. Washington Monument (相邻汉明距离: 738)
01064. crowds of...       (相邻汉明距离: 807)
01065. crowed             (相邻汉明距离: 533)
01066. coupon             (相邻汉明距离: 801)
01067. covering note      (相邻汉明距离: 755)
01068. covering letter    (相邻汉明距离: 666)
01069. cover for          (相邻汉明距离: 701)
01070. cook up            (相邻汉明距离: 781)
01071. cooper             (相邻汉明距离: 700)
01072. cove               (相邻汉明距离: 656)
01073. coolest            (相邻汉明距离: 703)
01074. cooler             (相邻汉明距离: 488)
01075. cool down          (相邻汉明距离: 464)
01076. conclude           (相邻汉明距离: 728)
01077. contract for purchase (相邻汉明距离: 756)
01078. deal in            (相邻汉明距离: 750)
01079. deck out           (相邻汉明距离: 690)
01080. deceive            (相邻汉明距离: 690)
01081. deceit             (相邻汉明距离: 494)
01082. corruption         (相邻汉明距离: 661)
01083. immoral            (相邻汉明距离: 668)
01084. imposture          (相邻汉明距离: 670)
01085. improvise          (相邻汉明距离: 670)
01086. dining car         (相邻汉明距离: 887)
01087. data bus           (相邻汉明距离: 813)
01088. fire station       (相邻汉明距离: 809)
01089. fire engine        (相邻汉明距离: 413)
01090. fire-engine        (相邻汉明距离: 212)
01091. fire drill         (相邻汉明距离: 638)
01092. Scratch            (相邻汉明距离: 813)
01093. Grasp all, lose all (相邻汉明距离: 704)
01094. sabre              (相邻汉明距离: 762)
01095. crossbar           (相邻汉明距离: 693)
01096. cross rate         (相邻汉明距离: 640)
01097. cryptogram         (相邻汉明距离: 762)
01098. convict            (相邻汉明距离: 774)
01099. captivity          (相邻汉明距离: 747)
01100. inferiority        (相邻汉明距离: 753)
01101. inefficient        (相邻汉明距离: 645)
01102. indebted           (相邻汉明距离: 692)
01103. desirability       (相邻汉明距离: 767)
01104. seductive          (相邻汉明距离: 688)
01105. feel interest in   (相邻汉明距离: 744)
01106. catch one's attention (相邻汉明距离: 695)
01107. catch one's eye    (相邻汉明距离: 512)
01108. catch the eye of   (相邻汉明距离: 300)
01109. catch the eye      (相邻汉明距离: 162)
01110. jump out of one's skin (相邻汉明距离: 779)
01111. impromptu          (相邻汉明距离: 709)
01112. imminent           (相邻汉明距离: 625)
01113. imminence          (相邻汉明距离: 373)
01114. impassable         (相邻汉明距离: 652)
01115. impregnable        (相邻汉明距离: 483)
01116. inextricably       (相邻汉明距离: 583)
01117. insensible         (相邻汉明距离: 664)
01118. indisputable       (相邻汉明距离: 662)
01119. disorganised       (相邻汉明距离: 707)
01120. desirous           (相邻汉明距离: 752)
01121. deserted           (相邻汉明距离: 700)
01122. desalinate         (相邻汉明距离: 683)
01123. demodulate         (相邻汉明距离: 743)
01124. destructive readout (相邻汉明距离: 777)
01125. controllability    (相邻汉明距离: 795)
01126. context-sensitive  (相邻汉明距离: 758)
01127. credit sb with sth (相邻汉明距离: 730)
01128. (give something) on credit (相邻汉明距离: 663)
01129. debit-credit plan  (相邻汉明距离: 693)
01130. debate             (相邻汉明距离: 767)
01131. socialise          (相邻汉明距离: 799)
01132. Here's to your health. (相邻汉明距离: 804)
01133. Have a nice time!  (相邻汉明距离: 651)
01134. Feel free to look around (相邻汉明距离: 723)
01135. give a concert     (相邻汉明距离: 790)
01136. for example        (相邻汉明距离: 764)
01137. data point         (相邻汉明距离: 784)
01138. data processing    (相邻汉明距离: 755)
01139. digital audio tape (相邻汉明距离: 851)
01140. digit circuit      (相邻汉明距离: 675)
01141. digger             (相邻汉明距离: 702)
01142. dieter             (相邻汉明距离: 695)
01143. diacritic          (相邻汉明距离: 712)
01144. diacritical        (相邻汉明距离: 214)
01145. dialect            (相邻汉明距离: 627)
01146. dialectics         (相邻汉明距离: 492)
01147. dialectic          (相邻汉明距离: 301)
01148. rethink            (相邻汉明距离: 768)
01149. consult with       (相邻汉明距离: 759)
01150. consume            (相邻汉明距离: 741)
01151. contiguity         (相邻汉明距离: 747)
01152. context-free language (相邻汉明距离: 809)
01153. context-sensitive help (相邻汉明距离: 756)
01154. helpful            (相邻汉明距离: 693)
01155. High               (相邻汉明距离: 697)
01156. high-risk          (相邻汉明距离: 632)
01157. right-hand         (相邻汉明距离: 679)
01158. hard-line          (相邻汉明距离: 675)
01159. determined         (相邻汉明距离: 740)
01160. much-needed        (相邻汉明距离: 766)
01161. countless          (相邻汉明距离: 713)
01162. in a nutshell      (相邻汉明距离: 740)
01163. come natural to sb. (相邻汉明距离: 795)
01164. native speaker     (相邻汉明距离: 714)
01165. schoolteacher      (相邻汉明距离: 807)
01166. courseware         (相邻汉明距离: 793)
01167. contract curve     (相邻汉明距离: 779)
01168. counterfeiting     (相邻汉明距离: 829)
01169. convince of        (相邻汉明距离: 804)
01170. develop confidence in sb. (相邻汉明距离: 698)
01171. come down in the world (相邻汉明距离: 797)
01172. desktop computer   (相邻汉明距离: 815)
01173. custom software    (相邻汉明距离: 799)
01174. local government   (相邻汉明距离: 821)
01175. local infection    (相邻汉明距离: 748)
01176. insecurity         (相邻汉明距离: 783)
01177. implausible        (相邻汉明距离: 731)
01178. guesswork          (相邻汉明距离: 698)
01179. corrigendum        (相邻汉明距离: 787)
01180. correction         (相邻汉明距离: 394)
01181. corrector          (相邻汉明距离: 398)
01182. corrugate          (相邻汉明距离: 651)
01183. coring bit         (相邻汉明距离: 759)
01184. catch the point    (相邻汉明距离: 818)
01185. change the subject (相邻汉明距离: 745)
01186. reorder            (相邻汉明距离: 736)
01187. cut mode           (相邻汉明距离: 738)
01188. cut across sth     (相邻汉明距离: 676)
01189. cussed             (相邻汉明距离: 720)
01190. cunning            (相邻汉明距离: 650)
01191. cunningly          (相邻汉明距离: 273)
01192. confusing          (相邻汉明距离: 660)
01193. diffident          (相邻汉明距离: 702)
01194. compare with       (相邻汉明距离: 671)
01195. comparison         (相邻汉明距离: 435)
01196. infinity           (相邻汉明距离: 647)
01197. infinitude         (相邻汉明距离: 508)
01198. inexpressible      (相邻汉明距离: 715)
01199. inaudible          (相邻汉明距离: 635)
01200. insufferable       (相邻汉明距离: 605)
01201. despicably         (相邻汉明距离: 601)
01202. immodest           (相邻汉明距离: 750)
01203. immensity          (相邻汉明距离: 644)
01204. immense            (相邻汉明距离: 358)
01205. I m                (相邻汉明距离: 694)
01206. increasingly       (相邻汉明距离: 739)
01207. creases            (相邻汉明距离: 549)
01208. circulation        (相邻汉明距离: 758)
01209. Air                (相邻汉明距离: 722)
01210. in the air         (相邻汉明距离: 576)
01211. in the world       (相邻汉明距离: 714)
01212. chance on          (相邻汉明距离: 790)
01213. chance it          (相邻汉明距离: 365)
01214. could as well      (相邻汉明距离: 799)
01215. compared with      (相邻汉明距离: 753)
01216. coupled with       (相邻汉明距离: 744)
01217. couplets           (相邻汉明距离: 614)
01218. cut a fine figure  (相邻汉明距离: 815)
01219. catch one's breath (相邻汉明距离: 784)
01220. He's not at home.  (相邻汉明距离: 848)
01221. He's twelve.       (相邻汉明距离: 627)
01222. inhibited          (相邻汉明距离: 804)
01223. containment        (相邻汉明距离: 694)
01224. contestant         (相邻汉明距离: 731)
01225. cosmonaut          (相邻汉明距离: 715)
01226. conquistador       (相邻汉明距离: 696)
01227. chevalier          (相邻汉明距离: 731)
01228. debouch            (相邻汉明距离: 701)
01229. debit-entry        (相邻汉明距离: 757)
01230. debt financing     (相邻汉明距离: 732)
01231. fact-finding       (相邻汉明距离: 821)
01232. organisational     (相邻汉明距离: 777)
01233. commercialization  (相邻汉明距离: 783)
01234. individualism      (相邻汉明距离: 751)
01235. Albert Einstein    (相邻汉明距离: 761)
01236. Helen Keller       (相邻汉明距离: 634)
01237. historian          (相邻汉明距离: 770)
01238. cultivator         (相邻汉明距离: 736)
01239. cultivation        (相邻汉明距离: 583)
01240. cupola             (相邻汉明距离: 741)
01241. Huangshan          (相邻汉明距离: 740)
01242. mountainside       (相邻汉明距离: 667)
01243. crisis             (相邻汉明距离: 853)
01244. critical value     (相邻汉明距离: 687)
01245. credit rating      (相邻汉明距离: 682)
01246. creditor right     (相邻汉明距离: 672)
01247. creditor           (相邻汉明距离: 426)
01248. confirmed credit   (相邻汉明距离: 654)
01249. credit account     (相邻汉明距离: 684)
01250. debit balance      (相邻汉明距离: 640)
01251. chequebook         (相邻汉明距离: 746)
01252. chronicle          (相邻汉明距离: 743)
01253. chalice            (相邻汉明距离: 712)
01254. chanticleer        (相邻汉明距离: 614)
01255. Gretel             (相邻汉明距离: 706)
01256. Grante             (相邻汉明距离: 772)
01257. champaign          (相邻汉明距离: 760)
01258. Harvard University (相邻汉明距离: 684)
01259. Finland            (相邻汉明距离: 783)
01260. Feder              (相邻汉明距离: 744)
01261. cornfield          (相邻汉明距离: 725)
01262. lose a game        (相邻汉明距离: 806)
01263. Lost               (相邻汉明距离: 627)
01264. Last but not least. (相邻汉明距离: 769)
01265. fasten down        (相邻汉明距离: 765)
01266. frizzle            (相邻汉明距离: 741)
01267. crab               (相邻汉明距离: 728)
01268. cuckoo-bird        (相邻汉明距离: 741)
01269. Adonis             (相邻汉明距离: 845)
01270. Harris             (相邻汉明距离: 696)
01271. Abraham Lincoln    (相邻汉明距离: 643)
01272. HRH                (相邻汉明距离: 749)
01273. HOSP               (相邻汉明距离: 732)
01274. HEA                (相邻汉明距离: 634)
01275. HMA                (相邻汉明距离: 574)
01276. Halloween          (相邻汉明距离: 764)
01277. die of hunger      (相邻汉明距离: 815)
